result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.0160,ST010186,<p>%(m/m)</p>,2025-05-06 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2025-05-06 08:00:00,水分,延炼200万吨/年催化裂化装置
219.0,ST010186,℃,2025-05-06 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
43.39,ST010186,<p>mm<sup>2</sup>/s</p>,2025-05-06 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
224.0,ST010186,℃,2025-06-09 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2025-06-09 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0172,ST010186,<p>%(m/m)</p>,2025-06-09 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
42.12,ST010186,<p>mm<sup>2</sup>/s</p>,2025-06-09 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
222.0,ST010186,℃,2025-07-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2025-07-07 08:00:00,水分,延炼200万吨/年催化裂化装置
42.86,ST010186,<p>mm<sup>2</sup>/s</p>,2025-07-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0176,ST010186,<p>%(m/m)</p>,2025-07-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
225.0,ST010186,℃,2025-08-04 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2025-08-04 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0180,ST010186,<p>%(m/m)</p>,2025-08-04 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
42.70,ST010186,<p>mm<sup>2</sup>/s</p>,2025-08-04 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
221.0,ST010186,℃,2025-09-02 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
0.0188,ST010186,<p>%(m/m)</p>,2025-09-02 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2025-09-02 08:00:00,水分,延炼200万吨/年催化裂化装置
42.50,ST010186,<p>mm<sup>2</sup>/s</p>,2025-09-02 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0183,ST010186,<p>%(m/m)</p>,2025-10-10 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2025-10-10 08:00:00,水分,延炼200万吨/年催化裂化装置
224.0,ST010186,℃,2025-10-10 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
43.72,ST010186,<p>mm<sup>2</sup>/s</p>,2025-10-10 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0177,ST010186,<p>%(m/m)</p>,2025-11-03 09:12:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2025-11-03 09:12:00,水分,延炼200万吨/年催化裂化装置
226.0,ST010186,℃,2025-11-03 09:12:00,闪点(TC),延炼200万吨/年催化裂化装置
44.12,ST010186,<p>mm<sup>2</sup>/s</p>,2025-11-03 09:12:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
225.0,ST010186,℃,2025-12-08 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2025-12-08 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0187,ST010186,<p>%(m/m)</p>,2025-12-08 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
44.12,ST010186,<p>mm<sup>2</sup>/s</p>,2025-12-08 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0178,ST010186,<p>%(m/m)</p>,2026-01-08 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2026-01-08 08:00:00,水分,延炼200万吨/年催化裂化装置
224.0,ST010186,℃,2026-01-08 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
42.24,ST010186,<p>mm<sup>2</sup>/s</p>,2026-01-08 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
222.0,ST010186,℃,2026-02-05 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2026-02-05 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0176,ST010186,<p>%(m/m)</p>,2026-02-05 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
44.96,ST010186,<p>mm<sup>2</sup>/s</p>,2026-02-05 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
223.0,ST010186,℃,2026-03-06 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2026-03-06 08:00:00,水分,延炼200万吨/年催化裂化装置
44.78,ST010186,<p>mm<sup>2</sup>/s</p>,2026-03-06 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0198,ST010186,<p>%(m/m)</p>,2026-03-06 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
224.0,ST010186,℃,2026-04-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
0.0178,ST010186,<p>%(m/m)</p>,2026-04-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010186,质量分数 %,2026-04-07 08:00:00,水分,延炼200万吨/年催化裂化装置
44.92,ST010186,<p>mm<sup>2</sup>/s</p>,2026-04-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
